max_value,expected_value,success,day
9.0,6.3024704216100025,True,11
3.0,3.0,False,11
3.0,3.0,False,11
6.0,5.135346269460002,True,12
9.0,6.932717463771003,False,12
6.0,6.0,False,12
2.0,2.0,False,12
7.0,4.0511747430000025,True,12
4.0,4.0,False,12
2.0,2.0,False,12
9.0,5.672223379449003,True,12
3.0,3.0,False,12
3.0,3.0,False,12
6.0,4.621811642514002,True,13
9.0,7.625989210148104,False,13
6.0,6.0,False,13
2.0,2.0,False,13
7.0,4.456292217300003,False,13
4.0,4.0,False,13
2.0,2.0,False,13
9.0,6.239445717393903,False,13
3.0,3.0,False,13
3.0,3.0,False,13
6.0,5.083992806765402,False,14
9.0,6.863390289133294,True,14
6.0,6.0,False,14
2.0,2.0,False,14
7.0,4.901921439030004,False,14
4.0,4.0,False,14
2.0,2.0,False,14
9.0,5.615501145654513,True,14
3.0,3.0,False,14
3.0,3.0,False,14
6.0,4.575593526088862,True,15
9.0,6.177051260219965,True,15
6.0,6.0,False,15
2.0,2.0,False,15
7.0,5.392113582933005,False,15
4.0,4.0,False,15
2.0,2.0,False,15
9.0,5.0539510310890625,True,15
3.0,3.0,False,15
3.0,3.0,False,15
6.0,5.033152878697749,False,16
9.0,6.794756386241962,False,16
6.0,5.4,True,16
2.0,2.0,False,16
7.0,5.931324941226306,False,16
4.0,4.0,False,16
2.0,2.0,False,16
9.0,5.559346134197969,False,16
3.0,3.0,False,16
3.0,3.0,False,16
6.0,5.536468166567524,False,17
9.0,7.47423202486616,False,17
6.0,5.940000000000001,False,17
2.0,2.0,False,17
7.0,6.524457435348937,False,17
4.0,4.0,False,17
2.0,2.0,False,17
9.0,5.003411520778172,True,17
3.0,3.0,False,17
3.0,3.0,False,17
6.0,4.982821349910772,True,18
9.0,8.221655227352777,False,18
6.0,5.346000000000001,True,18
2.0,2.0,False,18
7.0,7.0,False,18
4.0,4.0,False,18
2.0,2.0,False,18
9.0,5.50375267285599,False,18
3.0,3.0,False,18
3.0,3.0,False,18
6.0,5.481103484901849,False,19
9.0,7.399489704617499,True,19
6.0,4.811400000000001,True,19
2.0,2.0,False,19
7.0,7.0,False,19
4.0,4.0,False,19
2.0,2.0,False,19
9.0,6.05412794014159,False,19
3.0,3.0,False,19
3.0,3.0,False,19
6.0,6.0,False,20
9.0,8.13943867507925,False,20
6.0,5.292540000000002,False,20
2.0,2.0,False,20
7.0,6.3,True,20
4.0,4.0,False,20
2.0,2.0,False,20
9.0,5.448715146127431,True,20
3.0,3.0,False,20
3.0,3.0,False,20
6.0,6.0,False,21
9.0,7.325494807571324,True,21
6.0,4.763286000000002,True,21
2.0,2.0,False,21
7.0,6.930000000000001,False,21
4.0,3.6,True,21
2.0,2.0,False,21
9.0,5.993586660740174,False,21
3.0,3.0,False,21
3.0,3.0,False,21
6.0,5.4,True,22
9.0,8.058044288328457,False,22
6.0,4.286957400000001,True,22
2.0,2.0,False,22
7.0,7.0,False,22
4.0,3.9600000000000004,False,22
2.0,2.0,False,22
9.0,6.592945326814192,False,22
3.0,3.0,False,22
3.0,3.0,False,22
6.0,5.940000000000001,False,23
9.0,7.252239859495611,True,23
6.0,4.7156531400000015,False,23
2.0,2.0,False,23
7.0,6.3,True,23
4.0,4.0,False,23
2.0,2.0,False,23
9.0,5.933650794132773,True,23
3.0,3.0,False,23
3.0,3.0,False,23
6.0,6.0,False,24
9.0,6.52701587354605,True,24
6.0,5.187218454000002,False,24
2.0,2.0,False,24
7.0,5.67,True,24
4.0,4.0,False,24
2.0,2.0,False,24
9.0,6.527015873546051,False,24
3.0,3.0,False,24
3.0,3.0,False,24
6.0,6.0,False,25
9.0,7.1797174609006555,False,25
6.0,5.705940299400003,False,25
2.0,2.0,False,25
7.0,6.237,False,25
4.0,4.0,False,25
2.0,2.0,False,25
9.0,5.874314286191446,True,25
3.0,3.0,False,25
3.0,3.0,False,25
6.0,5.4,True,26
9.0,7.897689206990722,False,26
6.0,5.135346269460002,True,26
2.0,2.0,False,26
7.0,5.613300000000001,True,26
4.0,4.0,False,26
2.0,2.0,False,26
9.0,6.461745714810591,False,26
3.0,3.0,False,26
3.0,3.0,False,26
6.0,5.940000000000001,False,27
9.0,8.687458127689794,False,27
6.0,5.648880896406003,False,27
2.0,2.0,False,27
7.0,5.051970000000001,True,27
4.0,4.0,False,27
2.0,2.0,False,27
9.0,5.815571143329532,True,27
3.0,3.0,False,27
3.0,3.0,False,27
6.0,6.0,False,28
9.0,7.818712314920815,True,28
6.0,5.083992806765402,True,28
2.0,2.0,False,28
7.0,4.546773000000001,True,28
4.0,4.0,False,28
2.0,2.0,False,28
9.0,6.3971282576624855,False,28
3.0,3.0,False,28
3.0,3.0,False,28
6.0,6.0,False,29
9.0,7.036841083428734,True,29
6.0,4.575593526088862,True,29
2.0,2.0,False,29
7.0,4.092095700000001,True,29
4.0,4.0,False,29
2.0,2.0,False,29
9.0,7.036841083428735,False,29
3.0,3.0,False,29
3.0,3.0,False,29
6.0,5.4,True,30
9.0,6.333156975085861,True,30
6.0,4.118034173479976,True,30
2.0,2.0,False,30
7.0,4.501305270000001,False,30
4.0,4.0,False,30
2.0,2.0,False,30
9.0,7.740525191771609,False,30
3.0,3.0,False,30
3.0,3.0,False,30
6.0,5.940000000000001,False,31
9.0,6.966472672594447,False,31
6.0,4.529837590827974,False,31
2.0,2.0,False,31
7.0,4.951435797000002,False,31
4.0,4.0,False,31
2.0,2.0,False,31
9.0,6.966472672594448,True,31
3.0,3.0,False,31
3.0,3.0,False,31
6.0,5.346000000000001,True,32
9.0,7.6631199398538925,False,32
6.0,4.982821349910772,False,32
2.0,2.0,False,32
7.0,5.446579376700003,False,32
4.0,4.0,False,32
2.0,2.0,False,32
9.0,7.663119939853893,False,32
3.0,3.0,False,32
3.0,3.0,False,32
6.0,4.811400000000001,True,33
9.0,8.429431933839282,False,33
6.0,5.481103484901849,False,33
2.0,2.0,False,33
7.0,5.991237314370004,False,33
4.0,3.6,True,33
2.0,2.0,False,33
9.0,8.429431933839284,False,33
3.0,3.0,False,33
3.0,3.0,False,33
6.0,5.292540000000002,False,34
9.0,7.586488740455354,True,34
6.0,6.0,False,34
2.0,2.0,False,34
7.0,6.590361045807005,False,34
4.0,3.9600000000000004,False,34
2.0,2.0,False,34
9.0,7.586488740455356,True,34
3.0,3.0,False,34
3.0,3.0,False,34
6.0,5.821794000000002,False,35
9.0,6.8278398664098185,True,35
6.0,5.4,True,35
2.0,2.0,False,35
7.0,7.0,False,35
4.0,4.0,False,35
2.0,2.0,False,35
9.0,6.82783986640982,True,35
3.0,3.0,False,35
3.0,3.0,False,35
6.0,5.239614600000002,True,36
9.0,6.145055879768837,True,36
6.0,4.86,True,36
2.0,2.0,False,36
7.0,7.0,False,36
4.0,4.0,False,36
2.0,2.0,False,36
9.0,7.510623853050803,False,36
3.0,3.0,False,36
3.0,3.0,False,36
6.0,5.763576060000003,False,37
9.0,6.759561467745721,False,37
6.0,4.3740000000000006,True,37
2.0,2.0,False,37
7.0,7.0,False,37
4.0,4.0,False,37
2.0,2.0,False,37
9.0,6.759561467745723,True,37
3.0,3.0,False,37
3.0,3.0,False,37
6.0,5.187218454000003,True,38
9.0,7.435517614520293,False,38
6.0,4.811400000000001,False,38
2.0,2.0,False,38
7.0,6.3,True,38
4.0,4.0,False,38
2.0,2.0,False,38
9.0,6.0836053209711505,True,38
3.0,3.0,False,38
3.0,3.0,False,38
6.0,4.668496608600003,True,39
9.0,8.179069375972324,False,39
6.0,5.292540000000002,False,39
2.0,2.0,False,39
7.0,6.930000000000001,False,39
4.0,4.0,False,39
2.0,2.0,False,39
9.0,6.691965853068266,False,39
3.0,3.0,False,39
3.0,3.0,False,39
6.0,5.135346269460003,False,40
9.0,8.996976313569556,False,40
6.0,5.821794000000002,False,40
2.0,2.0,False,40
7.0,7.0,False,40
4.0,4.0,False,40
2.0,2.0,False,40
9.0,6.02276926776144,True,40
3.0,3.0,False,40
3.0,3.0,False,40
6.0,5.648880896406004,False,41
9.0,8.0972786822126,True,41
6.0,5.239614600000002,True,41
2.0,2.0,False,41
7.0,7.0,False,41
4.0,4.0,False,41
2.0,2.0,False,41
9.0,5.420492340985296,True,41
3.0,3.0,False,41
3.0,3.0,False,41
6.0,6.0,False,42
9.0,8.907006550433861,False,42
6.0,5.763576060000003,False,42
2.0,2.0,False,42
7.0,6.3,True,42
4.0,4.0,False,42
2.0,2.0,False,42
9.0,4.878443106886767,True,42
3.0,3.0,False,42
3.0,3.0,False,42
6.0,6.0,False,43
9.0,9.0,False,43
6.0,6.0,False,43
2.0,2.0,False,43
7.0,5.67,True,43
4.0,4.0,False,43
2.0,2.0,False,43
9.0,5.366287417575444,False,43
3.0,3.0,False,43
3.0,3.0,False,43
6.0,6.0,False,44
9.0,8.1,True,44
6.0,6.0,False,44
2.0,2.0,False,44
7.0,6.237,False,44
4.0,4.0,False,44
2.0,2.0,False,44
9.0,5.902916159332989,False,44
3.0,3.0,False,44
3.0,3.0,False,44
6.0,6.0,False,45
9.0,7.29,True,45
6.0,5.4,True,45
2.0,2.0,False,45
7.0,6.8607000000000005,False,45
4.0,4.0,False,45
2.0,2.0,False,45
9.0,6.4932077752662885,False,45
3.0,3.0,False,45
3.0,3.0,False,45
6.0,6.0,False,46
9.0,8.019,False,46
6.0,5.940000000000001,False,46
2.0,2.0,False,46
7.0,6.1746300000000005,True,46
4.0,3.6,True,46
2.0,2.0,False,46
9.0,7.142528552792918,False,46
3.0,3.0,False,46
3.0,3.0,False,46
6.0,5.4,True,47
9.0,7.2171,True,47
6.0,5.346000000000001,True,47
2.0,2.0,False,47
